rho,seed,T,modulator_correct_a,modulator_correct_b,modulator_correct_both,M_source0_a,M_source2_a,M_source0_b,M_source2_b,err_g123_a,err_g123_b,err_g145_a,err_g145_b,err_g123,err_g145,gap_g123,gap_g145,r_eff_x3_x5,elapsed_seconds
0.4,8042,25000,1,1,1,[1],[3],[1],[3],0.2959095537662506,0.30450862646102905,0.15960094332695007,0.1533365547657013,0.30020909011363983,0.15646874904632568,0.009663580916821957,0.015363502316176891,2.621325968719425,132.36512327194214
0.4,9042,25000,0,1,0,[1],"[0, 3]",[1],[3],0.25269344449043274,0.27817270159721375,0.1032421812415123,0.2159019112586975,0.26543307304382324,0.1595720462501049,0.026188811287283897,0.1139460876584053,2.5960608046033578,132.4805784225464
0.6,42,25000,1,1,1,[1],[3],[1],[3],0.3218412697315216,0.2786156237125397,0.14204199612140656,0.16767042875289917,0.30022844672203064,0.15485621243715286,0.043438348919153214,0.027242224663496017,2.2114359943060693,132.414541721344
0.6,1042,25000,1,0,0,[1],[3],[],[3],0.2766158878803253,0.7438693046569824,0.21233931183815002,0.04375466704368591,0.5102425962686539,0.12804698944091797,0.46748271584510803,0.17637357115745544,2.2632675152026107,124.70841860771179
0.6,2042,25000,1,1,1,[1],[3],[1],[3],0.6169856786727905,0.27532172203063965,0.03887702152132988,0.16804513335227966,0.4461537003517151,0.10346107743680477,0.3422422409057617,0.14098206162452698,2.2160535215428463,128.0209403038025
0.6,3042,25000,1,1,1,[1],[3],[1],[3],0.27269208431243896,0.30023524165153503,0.16310089826583862,0.8638299703598022,0.286463662981987,0.5134654343128204,0.027747424319386482,0.7019017934799194,2.259097867763187,132.31920862197876
0.6,4042,25000,1,1,1,[1],[3],[1],[3],0.32095083594322205,0.6410091519355774,0.16594922542572021,0.045462507754564285,0.4809799939393997,0.10570586659014225,0.3202817142009735,0.12908488512039185,2.220024232586547,131.58894300460815
0.6,5042,25000,0,1,0,[2],[3],[1],[3],0.7524605989456177,0.28268173336982727,0.05362878367304802,0.2219773530960083,0.5175711661577225,0.13780306838452816,0.4700888693332672,0.17633944749832153,2.245957867169197,132.70270419120789
0.6,6042,25000,1,0,0,[1],[3],[],[3],0.3131295442581177,0.7542227506637573,0.12670427560806274,0.05185304209589958,0.5336761474609375,0.08927865885198116,0.44135162234306335,0.08210326731204987,2.230070933046752,129.7482078075409
0.6,7042,25000,0,0,0,[1],[0],[1],"[0, 3]",0.2597692608833313,0.3084310293197632,0.475557804107666,0.6048483848571777,0.28410014510154724,0.5402030944824219,0.04887798801064491,0.13050396740436554,2.237100544105827,130.90526032447815
0.6,8042,25000,1,1,1,[1],[3],[1],[3],0.30058616399765015,0.30441224575042725,0.15320177376270294,0.1558624655008316,0.3024992048740387,0.15453211963176727,0.004819619935005903,0.016864212229847908,2.252730218826398,131.11679005622864
0.6,9042,25000,1,1,1,[1],[3],[1],[3],0.2894099950790405,0.27882567048072815,0.15605901181697845,0.22053204476833344,0.28411783277988434,0.18829552829265594,0.011750023812055588,0.06503049284219742,2.229616667246453,132.5884153842926
0.8,42,25000,1,1,1,[1],[3],[1],[3],0.32394662499427795,0.2970878779888153,0.14521227777004242,0.1752922087907791,0.31051725149154663,0.16025224328041077,0.027174806222319603,0.03151223063468933,1.852574383265009,130.99859070777893
0.8,1042,25000,1,1,1,[1],[3],[1],[3],0.29782965779304504,0.2581055760383606,0.1703409105539322,0.09832573682069778,0.2779676169157028,0.134333323687315,0.04018544405698776,0.0734100490808487,1.8838825039953468,132.12140274047852
